Name;Text;DrinkType

WhiskeySour;Whiskey Sour;Drink
Kalimotxo;Kalimotxo;Drink
Kalifresa;Kalifresa;Drink
ZumoDeMipalo;Zumo de mipalo;Drink
LecheDePantera;Leche de Pantera;Drink
LecheDeBrontosaurio;Leche de Brontosaurio;Drink
Birra;Birra;Beer
Cerveza;Cerveza;Beer
Michelada;Michelada;Beer
Submarino;Submarino;Drink
Gintonic;Gintonic;Drink
Ginejito;Ginejito;Drink
Margarita;Margarita;Drink
Caipirinha;Caipirinha;Drink
OnTheRocks;On the rocks;Drink
SexOnTheBeach;Sex on the beach;Drink
TequilaSunrise;Tequila Sunrise;Drink
Mojito;Mojito;Drink
Daiquiri;Daiquiri;Drink
JagerBomb;Jager Bomb;Drink
Chispazo;Chispazo;Drink
Kaipiroska;Kaipiroska;Drink
OrgasmoDeMora;Orgasmo de mora;Drink
Destornillador;Destornillador;Drink
WhiskeyCola;Whiskey Cola;Drink
Pinta;Pinta;Beer
FlameadoDeMoe;Flameado de Moe;Drink
AguaDeValencia;Agua de Valencia;Drink
Mimosa;Mimosa;Drink
Spritz;Spritz;Drink
RonCola;Ron Cola;Drink
BloodyMary;Bloody Mary;Drink
Cosmopolitan;Cosmopolitan;Drink
Cubalitro;Cubalitro;Drink
Cubalibre;Cubalibre;Drink
DryMartini;Dry Martini;Drink
LongIceland;Long Iceland;Drink
BlueHawaii;Blue Hawaii;Drink
Cosmopolitan;Cosmopolitan;Drink
Cointreaupolitan;Cointreaupolitan;Drink
DirtyMartini;Dirty Martini;Drink
EspressoMartini;Espresso Martini;Drink
GinFizz;Gin Fizz;Drink
VinoBlanco;Vino Blanco;Drink
Prosecco;Prosecco;Drink
VinoTinto;Vino Tinto;Drink
Grasshoper;Grasshoper;Drink
MoscowMule;Moscow Mule;Drink
TintoDeVerano;Tinto de verano;Drink
PasiónCanaria;Pasión canaria;Drink
